model,scenario,env,variant,sample,n_iteration_dirs,n_failed_dirs,n_complete_points,max_folder_index,reached_baseline,baseline_goodput_rps,final_goodput_rps,max_goodput_rps,first_nonzero_goodput_rps,first_nonzero_iteration_index,code_refinement_steps,spec_refinement_steps,improvement_ratio,gain_first_nonzero,recovered_from_dead_baseline,total_llm_cost_usd
openai-gpt-5.5-2026-04-23,ClickCount,Rust-Actix,temp0.2-openapi-high_performance,0,11,0,11,10,True,0.0,42472.7,42472.7,38512.2,4.0,2,8,,1.103,True,4.5764
openai-gpt-5.5-2026-04-23,ParcelPinLockerPickup,Go-net-http,temp0.2-openapi-high_performance,0,11,0,11,10,True,27660.3,92875.7,93521.7,27660.3,0.0,4,6,3.381,3.381,False,5.2883
openai-gpt-5.5-2026-04-23,ParcelPinLockerPickup,Python-Flask,temp0.2-openapi-high_performance,0,11,0,11,10,True,18374.6,0.0,32586.2,18374.6,0.0,2,8,1.773,1.773,False,5.0183
openai-gpt-5.5-2026-04-23,ParcelPinLockerPickup,Rust-Actix,temp0.2-openapi-high_performance,0,11,2,9,10,True,14435.0,30745.8,30978.2,14435.0,0.0,5,3,2.146,2.146,False,5.4620
openai-gpt-5.5-2026-04-23,Petstore,Go-net-http,temp0.2-openapi-high_performance,0,11,1,10,10,True,0.0,38304.7,38304.7,32034.1,1.0,6,3,,1.196,True,6.6780
openai-gpt-5.5-2026-04-23,Petstore,Python-Flask,temp0.2-openapi-high_performance,0,11,2,9,10,True,0.0,1984.1,1993.8,1883.0,6.0,7,1,,1.059,True,13.4410
openai-gpt-5.5-2026-04-23,Petstore,Rust-Actix,temp0.2-openapi-high_performance,0,11,2,9,10,True,0.0,27294.5,27294.5,27294.5,10.0,5,3,,1.000,True,6.2140
openai-gpt-5.5-2026-04-23,Recipes,Go-net-http,temp0.2-openapi-high_performance,0,11,0,11,10,True,30815.0,90837.9,92120.3,30815.0,0.0,4,6,2.989,2.989,False,6.1615
openai-gpt-5.5-2026-04-23,Recipes,Python-Flask,temp0.2-openapi-high_performance,0,11,2,9,10,True,9799.9,28158.7,32557.8,9799.9,0.0,4,4,3.322,3.322,False,5.8444
openai-gpt-5.5-2026-04-23,Recipes,Rust-Actix,temp0.2-openapi-high_performance,0,11,0,11,10,True,9163.6,81651.9,84794.6,9163.6,0.0,5,5,9.253,9.253,False,6.2911
openai-gpt-5.5-2026-04-23,SplitNestSharedExpenseLedger,Go-net-http,temp0.2-openapi-high_performance,0,11,0,11,10,True,17296.2,15320.2,18350.8,17296.2,0.0,5,5,1.061,1.061,False,6.0285
openai-gpt-5.5-2026-04-23,SplitNestSharedExpenseLedger,Python-Flask,temp0.2-openapi-high_performance,0,11,0,11,10,True,0.0,20076.1,20076.1,10702.6,1.0,4,6,,1.876,True,5.1166
openai-gpt-5.5-2026-04-23,SplitNestSharedExpenseLedger,Rust-Actix,temp0.2-openapi-high_performance,0,11,0,11,10,True,10431.5,20689.3,21256.0,10431.5,0.0,4,6,2.038,2.038,False,6.3822
openai-gpt-5.5-2026-04-23,TransitPulseDelayReporter,Go-net-http,temp0.2-openapi-high_performance,0,11,0,11,10,True,0.0,55118.4,55118.4,19925.7,1.0,7,3,,2.766,True,7.0270
openai-gpt-5.5-2026-04-23,TransitPulseDelayReporter,Python-Flask,temp0.2-openapi-high_performance,0,11,0,11,10,True,11861.8,20159.4,22318.1,11861.8,0.0,5,5,1.882,1.882,False,4.7938
openai-gpt-5.5-2026-04-23,TransitPulseDelayReporter,Rust-Actix,temp0.2-openapi-high_performance,0,11,0,11,10,True,31235.8,95650.9,95650.9,31235.8,0.0,2,8,3.062,3.062,False,4.6022
z-ai-glm-5.2,BranchWeave_InteractiveStoryGraph,Go-net-http,temp0.2-openapi-high_performance,0,11,5,6,10,True,0.0,0.0,10841.7,10841.7,8.0,4,1,,1.000,True,1.3948
z-ai-glm-5.2,BranchWeave_InteractiveStoryGraph,Python-Flask,temp0.2-openapi-high_performance,0,11,1,10,10,True,7832.1,9302.9,13486.3,7832.1,0.0,6,3,1.722,1.722,False,2.6250
z-ai-glm-5.2,BranchWeave_InteractiveStoryGraph,Rust-Actix,temp0.2-openapi-high_performance,0,11,5,6,10,True,0.0,20110.1,20110.1,12409.6,6.0,1,4,,1.621,True,0.4201
z-ai-glm-5.2,ClickCount,Go-net-http,temp0.2-openapi-high_performance,0,11,2,9,10,True,0.0,96281.8,96281.8,1443.0,1.0,3,5,,66.723,True,1.7555
z-ai-glm-5.2,ClickCount,Python-Flask,temp0.2-openapi-high_performance,0,11,1,10,10,True,1130.2,20394.1,23594.7,1130.2,0.0,5,4,20.877,20.877,False,0.9412
z-ai-glm-5.2,ClickCount,Rust-Actix,temp0.2-openapi-high_performance,0,11,2,9,10,True,0.0,2675.9,2816.5,1052.3,3.0,4,4,,2.677,True,0.3035
z-ai-glm-5.2,ParcelPinLockerPickup,Go-net-http,temp0.2-openapi-high_performance,0,11,2,9,10,True,0.0,21233.4,29021.9,15739.7,1.0,5,3,,1.844,True,0.9501
z-ai-glm-5.2,ParcelPinLockerPickup,Python-Flask,temp0.2-openapi-high_performance,0,11,0,11,10,True,8283.1,0.0,8656.2,8283.1,0.0,4,6,1.045,1.045,False,1.0541
z-ai-glm-5.2,ParcelPinLockerPickup,Rust-Actix,temp0.2-openapi-high_performance,0,11,3,8,10,True,0.0,15291.7,26337.4,7736.2,2.0,4,3,,3.404,True,2.0207
z-ai-glm-5.2,Petstore,Go-net-http,temp0.2-openapi-high_performance,0,11,3,8,10,True,0.0,18408.9,29047.3,17896.2,4.0,3,4,,1.623,True,2.2500
z-ai-glm-5.2,Petstore,Python-Flask,temp0.2-openapi-high_performance,0,11,0,11,10,True,1837.5,2822.3,2822.3,1837.5,0.0,4,6,1.536,1.536,False,0.7522
z-ai-glm-5.2,Petstore,Rust-Actix,temp0.2-openapi-high_performance,0,11,3,8,10,True,0.0,10603.0,12217.0,11488.6,2.0,3,4,,1.063,True,0.5842
z-ai-glm-5.2,Recipes,Go-net-http,temp0.2-openapi-high_performance,0,11,0,11,10,True,0.0,40414.0,44850.9,21542.3,2.0,6,4,,2.082,True,1.9125
z-ai-glm-5.2,Recipes,Python-Flask,temp0.2-openapi-high_performance,0,11,0,11,10,True,0.0,0.0,5420.6,2046.2,1.0,4,6,,2.649,True,0.3760
z-ai-glm-5.2,Recipes,Rust-Actix,temp0.2-openapi-high_performance,0,11,1,10,10,True,0.0,15029.1,15029.1,5676.3,2.0,6,3,,2.648,True,0.4766
z-ai-glm-5.2,SplitNestSharedExpenseLedger,Go-net-http,temp0.2-openapi-high_performance,0,11,3,8,10,True,0.0,9969.2,9969.2,5668.2,1.0,4,3,,1.759,True,2.1801
z-ai-glm-5.2,SplitNestSharedExpenseLedger,Python-Flask,temp0.2-openapi-high_performance,0,11,1,10,10,True,8567.2,0.0,15223.6,8567.2,0.0,1,8,1.777,1.777,False,1.7147
z-ai-glm-5.2,SplitNestSharedExpenseLedger,Rust-Actix,temp0.2-openapi-high_performance,0,11,2,9,10,True,2377.4,14351.6,14351.6,2377.4,0.0,4,4,6.037,6.037,False,1.9213
z-ai-glm-5.2,TransitPulseDelayReporter,Go-net-http,temp0.2-openapi-high_performance,0,11,1,10,10,True,0.0,0.0,0.0,,,4,5,,,False,1.9272
z-ai-glm-5.2,TransitPulseDelayReporter,Python-Flask,temp0.2-openapi-high_performance,0,11,1,10,10,True,0.0,15356.6,15356.6,4083.7,4.0,3,6,,3.760,True,1.0373
z-ai-glm-5.2,TransitPulseDelayReporter,Rust-Actix,temp0.2-openapi-high_performance,0,11,2,9,10,True,2020.1,12031.4,12031.4,2020.1,0.0,2,6,5.956,5.956,False,1.8907
