model,scenario,env,iteration_folder,iteration_index,refinement_kind,phase,failure_kind
z-ai-glm-5.2,Recipes,Rust-Actix,iteration-008-spec-failed,8,spec,03-spec,spec_validation
z-ai-glm-5.2,SplitNestSharedExpenseLedger,Go-net-http,iteration-004-code-failed,4,code,02-code,functional_test
z-ai-glm-5.2,SplitNestSharedExpenseLedger,Go-net-http,iteration-006-code-failed,6,code,02-code,llm_parse
z-ai-glm-5.2,SplitNestSharedExpenseLedger,Go-net-http,iteration-008-code-failed,8,code,02-code,functional_test
z-ai-glm-5.2,SplitNestSharedExpenseLedger,Python-Flask,iteration-008-code-failed,8,code,02-code,functional_test
z-ai-glm-5.2,SplitNestSharedExpenseLedger,Rust-Actix,iteration-009-code-failed,9,code,02-code,functional_test
z-ai-glm-5.2,SplitNestSharedExpenseLedger,Rust-Actix,iteration-010-code-failed,10,code,02-code,llm_parse
z-ai-glm-5.2,TransitPulseDelayReporter,Go-net-http,iteration-001-code-failed,1,code,02-code,functional_test
z-ai-glm-5.2,TransitPulseDelayReporter,Python-Flask,iteration-002-spec-failed,2,spec,03-spec,spec_validation
z-ai-glm-5.2,TransitPulseDelayReporter,Rust-Actix,iteration-002-code-failed,2,code,02-code,docker_build
z-ai-glm-5.2,TransitPulseDelayReporter,Rust-Actix,iteration-008-code-failed,8,code,02-code,docker_build
