model,scenario,env,sample,iteration_index,iteration_id,refinement_kind,goodput_rps,delta_goodput_rps,delta_goodput_pct,recovered_from_zero
anthropic-claude-opus-4-8,Petstore,Go-net-http,0,7,iteration-007,code,38420.0,4188.4,12.24,False
anthropic-claude-opus-4-8,Petstore,Go-net-http,0,8,iteration-008,spec,36932.1,-1487.9,-3.87,False
anthropic-claude-opus-4-8,Petstore,Go-net-http,0,9,iteration-009,spec,35540.7,-1391.4,-3.77,False
anthropic-claude-opus-4-8,Petstore,Go-net-http,0,10,iteration-010,spec,36630.5,1089.8,3.07,False
anthropic-claude-opus-4-8,Petstore,Python-Flask,0,0,iteration-000,baseline,0.0,,,False
anthropic-claude-opus-4-8,Petstore,Python-Flask,0,1,iteration-001,spec,0.0,0.0,,False
anthropic-claude-opus-4-8,Petstore,Python-Flask,0,2,iteration-002,code,0.0,0.0,,False
anthropic-claude-opus-4-8,Petstore,Python-Flask,0,3,iteration-003,code,0.0,0.0,,False
anthropic-claude-opus-4-8,Petstore,Python-Flask,0,4,iteration-004,code,3862.8,3862.8,,True
anthropic-claude-opus-4-8,Petstore,Python-Flask,0,7,iteration-007,spec,3939.8,77.0,1.99,False
anthropic-claude-opus-4-8,Petstore,Python-Flask,0,8,iteration-008,spec,2632.4,-1307.4,-33.18,False
anthropic-claude-opus-4-8,Petstore,Python-Flask,0,9,iteration-009,spec,4053.0,1420.6,53.97,False
anthropic-claude-opus-4-8,Petstore,Python-Flask,0,10,iteration-010,spec,3491.3,-561.7,-13.86,False
anthropic-claude-opus-4-8,Petstore,Rust-Actix,0,0,iteration-000,baseline,0.0,,,False
anthropic-claude-opus-4-8,Petstore,Rust-Actix,0,1,iteration-001,code,0.0,0.0,,False
anthropic-claude-opus-4-8,Petstore,Rust-Actix,0,2,iteration-002,code,0.0,0.0,,False
anthropic-claude-opus-4-8,Petstore,Rust-Actix,0,4,iteration-004,code,0.0,0.0,,False
anthropic-claude-opus-4-8,Petstore,Rust-Actix,0,5,iteration-005,code,0.0,0.0,,False
anthropic-claude-opus-4-8,Petstore,Rust-Actix,0,6,iteration-006,code,0.0,0.0,,False
anthropic-claude-opus-4-8,Petstore,Rust-Actix,0,7,iteration-007,code,0.0,0.0,,False
anthropic-claude-opus-4-8,Petstore,Rust-Actix,0,8,iteration-008,code,0.0,0.0,,False
anthropic-claude-opus-4-8,Petstore,Rust-Actix,0,9,iteration-009,code,0.0,0.0,,False
anthropic-claude-opus-4-8,Petstore,Rust-Actix,0,10,iteration-010,code,286.7,286.7,,True
anthropic-claude-opus-4-8,Recipes,Go-net-http,0,0,iteration-000,baseline,5522.2,,,False
anthropic-claude-opus-4-8,Recipes,Go-net-http,0,1,iteration-001,spec,0.0,-5522.2,-100.00,False
anthropic-claude-opus-4-8,Recipes,Go-net-http,0,2,iteration-002,code,11050.3,11050.3,,True
anthropic-claude-opus-4-8,Recipes,Go-net-http,0,3,iteration-003,code,25153.4,14103.1,127.63,False
anthropic-claude-opus-4-8,Recipes,Go-net-http,0,4,iteration-004,spec,32063.1,6909.7,27.47,False
anthropic-claude-opus-4-8,Recipes,Go-net-http,0,5,iteration-005,code,36060.5,3997.4,12.47,False
anthropic-claude-opus-4-8,Recipes,Go-net-http,0,6,iteration-006,spec,37666.1,1605.6,4.45,False
anthropic-claude-opus-4-8,Recipes,Go-net-http,0,7,iteration-007,code,41884.5,4218.4,11.20,False
anthropic-claude-opus-4-8,Recipes,Go-net-http,0,8,iteration-008,spec,56123.4,14238.9,34.00,False
anthropic-claude-opus-4-8,Recipes,Go-net-http,0,9,iteration-009,spec,58218.0,2094.6,3.73,False
anthropic-claude-opus-4-8,Recipes,Go-net-http,0,10,iteration-010,code,62449.2,4231.2,7.27,False
anthropic-claude-opus-4-8,Recipes,Python-Flask,0,0,iteration-000,baseline,1868.1,,,False
anthropic-claude-opus-4-8,Recipes,Python-Flask,0,1,iteration-001,code,0.0,-1868.1,-100.00,False
anthropic-claude-opus-4-8,Recipes,Python-Flask,0,2,iteration-002,code,0.0,0.0,,False
anthropic-claude-opus-4-8,Recipes,Python-Flask,0,3,iteration-003,code,5308.5,5308.5,,True
anthropic-claude-opus-4-8,Recipes,Python-Flask,0,4,iteration-004,spec,7634.0,2325.5,43.81,False
anthropic-claude-opus-4-8,Recipes,Python-Flask,0,7,iteration-007,code,10015.6,2381.6,31.20,False
anthropic-claude-opus-4-8,Recipes,Python-Flask,0,8,iteration-008,spec,13813.1,3797.5,37.92,False
anthropic-claude-opus-4-8,Recipes,Python-Flask,0,9,iteration-009,code,14124.3,311.2,2.25,False
anthropic-claude-opus-4-8,Recipes,Python-Flask,0,10,iteration-010,spec,16419.3,2295.0,16.25,False
anthropic-claude-opus-4-8,Recipes,Rust-Actix,0,0,iteration-000,baseline,5276.9,,,False
anthropic-claude-opus-4-8,Recipes,Rust-Actix,0,1,iteration-001,code,5629.9,353.0,6.69,False
anthropic-claude-opus-4-8,Recipes,Rust-Actix,0,2,iteration-002,spec,0.0,-5629.9,-100.00,False
anthropic-claude-opus-4-8,Recipes,Rust-Actix,0,3,iteration-003,code,6435.3,6435.3,,True
anthropic-claude-opus-4-8,Recipes,Rust-Actix,0,4,iteration-004,spec,7558.4,1123.1,17.45,False
anthropic-claude-opus-4-8,Recipes,Rust-Actix,0,5,iteration-005,code,7437.4,-121.0,-1.60,False
anthropic-claude-opus-4-8,Recipes,Rust-Actix,0,6,iteration-006,code,7539.1,101.7,1.37,False
anthropic-claude-opus-4-8,Recipes,Rust-Actix,0,7,iteration-007,code,7563.1,24.0,0.32,False
anthropic-claude-opus-4-8,Recipes,Rust-Actix,0,8,iteration-008,spec,15533.2,7970.1,105.38,False
anthropic-claude-opus-4-8,Recipes,Rust-Actix,0,9,iteration-009,spec,30550.3,15017.1,96.68,False
anthropic-claude-opus-4-8,Recipes,Rust-Actix,0,10,iteration-010,spec,30856.3,306.0,1.00,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Go-net-http,0,0,iteration-000,baseline,0.0,,,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Go-net-http,0,1,iteration-001,code,7383.1,7383.1,,True
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Go-net-http,0,2,iteration-002,spec,12791.6,5408.5,73.26,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Go-net-http,0,3,iteration-003,code,12495.4,-296.2,-2.32,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Go-net-http,0,4,iteration-004,spec,15179.1,2683.7,21.48,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Go-net-http,0,5,iteration-005,spec,17327.4,2148.3,14.15,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Go-net-http,0,6,iteration-006,code,20326.7,2999.3,17.31,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Go-net-http,0,7,iteration-007,code,21001.3,674.6,3.32,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Go-net-http,0,8,iteration-008,spec,19813.8,-1187.5,-5.65,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Go-net-http,0,9,iteration-009,code,21159.9,1346.1,6.79,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Go-net-http,0,10,iteration-010,spec,22077.5,917.6,4.34,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Python-Flask,0,0,iteration-000,baseline,5543.5,,,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Python-Flask,0,1,iteration-001,spec,8024.5,2481.0,44.76,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Python-Flask,0,2,iteration-002,code,11530.2,3505.7,43.69,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Python-Flask,0,3,iteration-003,spec,10499.7,-1030.5,-8.94,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Python-Flask,0,5,iteration-005,code,10269.9,-229.8,-2.19,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Python-Flask,0,6,iteration-006,spec,12210.6,1940.7,18.90,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Python-Flask,0,7,iteration-007,code,11997.8,-212.8,-1.74,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Python-Flask,0,8,iteration-008,spec,12129.9,132.1,1.10,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Python-Flask,0,9,iteration-009,code,0.0,-12129.9,-100.00,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Python-Flask,0,10,iteration-010,spec,12749.0,12749.0,,True
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Rust-Actix,0,0,iteration-000,baseline,7527.2,,,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Rust-Actix,0,1,iteration-001,code,0.0,-7527.2,-100.00,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Rust-Actix,0,2,iteration-002,code,7971.6,7971.6,,True
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Rust-Actix,0,3,iteration-003,spec,8060.0,88.4,1.11,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Rust-Actix,0,4,iteration-004,spec,13000.1,4940.1,61.29,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Rust-Actix,0,5,iteration-005,code,14052.4,1052.3,8.09,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Rust-Actix,0,6,iteration-006,spec,15832.6,1780.2,12.67,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Rust-Actix,0,7,iteration-007,spec,15995.6,163.0,1.03,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Rust-Actix,0,8,iteration-008,code,15608.1,-387.5,-2.42,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Rust-Actix,0,9,iteration-009,spec,15258.0,-350.1,-2.24,False
anthropic-claude-opus-4-8,SplitNestSharedExpenseLedger,Rust-Actix,0,10,iteration-010,spec,15709.3,451.3,2.96,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Go-net-http,0,0,iteration-000,baseline,0.0,,,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Go-net-http,0,2,iteration-002,spec,0.0,0.0,,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Go-net-http,0,3,iteration-003,code,20666.7,20666.7,,True
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Go-net-http,0,4,iteration-004,code,25449.4,4782.7,23.14,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Go-net-http,0,5,iteration-005,code,0.0,-25449.4,-100.00,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Go-net-http,0,6,iteration-006,code,24189.5,24189.5,,True
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Go-net-http,0,7,iteration-007,code,26125.5,1936.0,8.00,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Go-net-http,0,8,iteration-008,spec,25644.8,-480.7,-1.84,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Go-net-http,0,9,iteration-009,code,25140.1,-504.7,-1.97,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Go-net-http,0,10,iteration-010,code,25617.6,477.5,1.90,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Python-Flask,0,0,iteration-000,baseline,0.0,,,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Python-Flask,0,1,iteration-001,code,1746.0,1746.0,,True
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Python-Flask,0,2,iteration-002,spec,1705.0,-41.0,-2.35,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Python-Flask,0,3,iteration-003,code,6130.1,4425.1,259.54,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Python-Flask,0,4,iteration-004,spec,15425.8,9295.7,151.64,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Python-Flask,0,5,iteration-005,spec,13642.0,-1783.8,-11.56,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Python-Flask,0,6,iteration-006,spec,14786.6,1144.6,8.39,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Python-Flask,0,7,iteration-007,code,13590.0,-1196.6,-8.09,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Python-Flask,0,8,iteration-008,code,13322.7,-267.3,-1.97,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Python-Flask,0,9,iteration-009,spec,13892.7,570.0,4.28,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Python-Flask,0,10,iteration-010,spec,12539.2,-1353.5,-9.74,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Rust-Actix,0,0,iteration-000,baseline,1947.1,,,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Rust-Actix,0,1,iteration-001,spec,0.0,-1947.1,-100.00,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Rust-Actix,0,2,iteration-002,code,5049.3,5049.3,,True
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Rust-Actix,0,3,iteration-003,code,7502.7,2453.4,48.59,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Rust-Actix,0,4,iteration-004,code,7569.3,66.6,0.89,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Rust-Actix,0,5,iteration-005,code,7424.4,-144.9,-1.91,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Rust-Actix,0,6,iteration-006,spec,11236.0,3811.6,51.34,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Rust-Actix,0,7,iteration-007,spec,6704.8,-4531.2,-40.33,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Rust-Actix,0,8,iteration-008,spec,11263.4,4558.6,67.99,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Rust-Actix,0,9,iteration-009,code,11114.4,-149.0,-1.32,False
anthropic-claude-opus-4-8,TransitPulseDelayReporter,Rust-Actix,0,10,iteration-010,spec,10827.7,-286.7,-2.58,False
openai-gpt-5.5-2026-04-23,BranchWeave_InteractiveStoryGraph,Go-net-http,0,0,iteration-000,baseline,22468.9,,,False
openai-gpt-5.5-2026-04-23,BranchWeave_InteractiveStoryGraph,Go-net-http,0,1,iteration-001,spec,26651.7,4182.8,18.62,False
openai-gpt-5.5-2026-04-23,BranchWeave_InteractiveStoryGraph,Go-net-http,0,2,iteration-002,code,26319.2,-332.5,-1.25,False
openai-gpt-5.5-2026-04-23,BranchWeave_InteractiveStoryGraph,Go-net-http,0,3,iteration-003,spec,17954.1,-8365.1,-31.78,False
openai-gpt-5.5-2026-04-23,BranchWeave_InteractiveStoryGraph,Go-net-http,0,4,iteration-004,spec,26055.9,8101.8,45.13,False
